PRECINCT_OF_OCCUR,Jaywalking Summonses,Total population,Jaywalking Summonses per 10K,PRECINCT_OF_OCCUR,All Summonses,Jaywalking % of Total Summonses
1,1,84810.0,0.1,1,914,0.11
5,5,49438.0,1.0,5,637,0.78
6,1,64231.0,0.2,6,497,0.2
7,6,59126.0,1.0,7,443,1.35
9,1,76363.0,0.1,9,345,0.29
10,1,65298.0,0.2,10,529,0.19
13,6,100285.0,0.6,13,787,0.76
14,10,28410.0,3.5,14,4488,0.22
17,3,89457.0,0.3,17,926,0.32
18,5,67484.0,0.7,18,3180,0.16
19,2,220261.0,0.1,19,487,0.41
23,13,74751.0,1.7,23,1235,1.05
24,8,107520.0,0.7,24,376,2.13
25,21,49718.0,4.2,25,832,2.52
26,1,49320.0,0.2,26,365,0.27
28,25,49773.0,5.0,28,1093,2.29
30,5,60593.0,0.8,30,393,1.27
32,10,80667.0,1.2,32,1253,0.8
33,35,71716.0,4.9,33,844,4.15
34,5,108462.0,0.5,34,1623,0.31
40,21,103102.0,2.0,40,5080,0.41
41,2,54451.0,0.4,41,2164,0.09
42,4,93435.0,0.4,42,1901,0.21
43,6,188367.0,0.3,43,1520,0.39
44,3,148541.0,0.2,44,2395,0.13
46,1,132540.0,0.1,46,1616,0.06
47,6,163296.0,0.4,47,2598,0.23
50,1,106999.0,0.1,50,491,0.2
52,3,148585.0,0.2,52,3091,0.1
60,15,109119.0,1.4,60,1211,1.24
61,3,169272.0,0.2,61,716,0.42
63,1,112824.0,0.1,63,648,0.15
67,3,163110.0,0.2,67,3502,0.09
69,7,90675.0,0.8,69,2476,0.28
70,20,164685.0,1.2,70,3502,0.57
71,1,101806.0,0.1,71,1864,0.05
72,3,132674.0,0.2,72,2552,0.12
73,9,97775.0,0.9,73,4786,0.19
75,10,201043.0,0.5,75,4202,0.24
76,2,47712.0,0.4,76,3266,0.06
77,5,101252.0,0.5,77,515,0.97
78,1,72767.0,0.1,78,499,0.2
79,36,105588.0,3.4,79,1367,2.63
81,11,69040.0,1.6,81,2439,0.45
83,7,120741.0,0.6,83,786,0.89
84,14,67676.0,2.1,84,669,2.09
88,3,63292.0,0.5,88,1935,0.16
90,6,131838.0,0.5,90,1728,0.35
94,1,72287.0,0.1,94,203,0.49
101,1,73364.0,0.1,101,293,0.34
103,13,121711.0,1.1,103,2232,0.58
105,1,199279.0,0.1,105,824,0.12
109,8,269767.0,0.3,109,1016,0.79
110,8,179146.0,0.4,110,3408,0.23
112,1,120356.0,0.1,112,135,0.74
113,5,130230.0,0.4,113,1038,0.48
114,13,208486.0,0.6,114,1721,0.76
115,13,179391.0,0.7,115,2909,0.45
120,1,122663.0,0.1,120,1024,0.1
